reviewer_name,rating,review_title,review_body,product_handle,created_at,photo_url
Grace Wright,5,The Alluring Beauty!,"The alluring beauty ribbon for my girlfriend arrived in under a week, wrapped like a high-end boutique. The 'beautiful girlfriend' card sealed the sentiment; she teared up reading it aloud. White gold option is versatile—pairs with everything in her wardrobe. Can't wait to shop again.",cubic-zirconia-earrings-shop-226495-5746,2025-11-01,
Reid Evans,5,For My Sister'S!,"For my sister's birthday, the forever love heart was spot-on. She said it captures our chaotic but unbreakable bond. The 18k yellow gold finish elevates it from sweet to sophisticated. Delivery was discreet, and the rose petals add that extra romance touch.",red-cubic-zirconia-earrings-shop-226495-9340,2025-11-01,https://cdn.shopify.com/s/files/1/2264/9500/files/anniversary_necklace_wear.jpg
Owen Young,5,As A Mom!,"As a mom gifting the infinity knot to my daughter before college, this hit deep. The keepsake card from 'mom' is gold (literally). She's worn it non-stop, says it grounds her. Quality holds up to her active lifestyle—no snags or fades.",mom-birthday-necklace-forever-love-heart-pendant-with-message-card-white-gold-or-18k-gold-shop-226495-8074,2025-11-01,https://cdn.shopify.com/s/files/1/2264/9500/files/earrings_closeup_sparkle.jpg
Nora Hill,5,Perfect Gift; She!,Perfect gift; she  ...and the best part? It fits like a dream.,personalized-bestie-name-necklace-custom-gift-with-message-card-made-in-usa-shop-226495-8033,2025-11-01,
Silas Gonzalez,5,As A Treat!,"As a treat for myself, this necklace feels luxurious. The infinity  ...and the best part? Zero regrets on the upgrade.",best-friend-love-knot-necklace-thank-you-for-standing-by-my-side-message-card-white-gold-or-18k-gold-shop-226495-7951,2025-11-01,https://cdn.shopify.com/s/files/1/2264/9500/files/chain_on_wrist.jpg
Noah Lee,5,As A Treat!,"As a treat for myself, this necklace feels luxurious. The infinity  ...and the best part? Zero regrets on the upgrade.",personalized-bestie-name-necklace-custom-gift-with-message-card-made-in-usa-shop-226495-8033,2025-11-01,
Jasper Gonzalez,5,As A Mom!,"As a mom gifting the infinity knot to my daughter before college, this hit deep. The keepsake card from 'mom' is gold (literally). She's worn it non-stop, says it grounds her. Quality holds up to her active lifestyle—no snags or fades.",best-friend-love-knot-necklace-thank-you-for-standing-by-my-side-message-card-white-gold-or-18k-gold-shop-226495-7951,2025-11-01,https://cdn.shopify.com/s/files/1/2264/9500/files/heart_pendant_closeup.jpg
Chloe Hale,5,Gifted To My!,Gifted to my dad; the message card brought tears. Durabl ...and the best part? It fits like a dream.,love-knot-stud-earrings-shop-226495-5414,2025-11-01,https://cdn.shopify.com/s/files/1/2264/9500/files/earrings_closeup_sparkle.jpg
Amelia Young,5,Bought This For!,Bought this for our anniversary and it was a hit. The interlocking hearts symbolize our ...and the best part? It fits like a dream.,personalized-bestie-name-necklace-custom-gift-with-message-card-made-in-usa-shop-226495-8033,2025-11-01,https://cdn.shopify.com/s/files/1/2264/9500/files/earrings_closeup_sparkle.jpg
Silas Collins,5,For My Sister'S!,"For my sister's birthday, the forever love heart was spot-on. She said it captures our chaotic but unbreakable bond. The 18k yellow gold finish elevates it from sweet to sophisticated. Delivery was discreet, and the rose petals add that extra romance touch.",red-cubic-zirconia-earrings-shop-226495-9340,2025-11-01,https://cdn.shopify.com/s/files/1/2264/9500/files/earrings_closeup_sparkle.jpg
